  243.231694 cm^{-1} ... 1 
  243.132054 cm^{-1} ... 1 
  243.082535 cm^{-1} ... 1 
  242.505317 cm^{-1} ... 1 
  242.455975 cm^{-1} ... 1 
  242.278024 cm^{-1} ... 1 
    0.035082 cm^{-1} ... 1 
    0.010737 cm^{-1} ... 1 
    0.048896 cm^{-1} ... 0 
  322.567213 cm^{-1} ... 0 
  322.598440 cm^{-1} ... 0 
  322.658369 cm^{-1} ... 0 
  322.704138 cm^{-1} ... 0 
  322.757553 cm^{-1} ... 0 
  322.947996 cm^{-1} ... 0 
  420.004899 cm^{-1} ... 0 
  420.079307 cm^{-1} ... 0 
  420.140504 cm^{-1} ... 0 
  420.229519 cm^{-1} ... 0 
  420.403787 cm^{-1} ... 0 
  420.619284 cm^{-1} ... 0 
  582.859392 cm^{-1} ... 0 
  582.877345 cm^{-1} ... 0 
  582.945298 cm^{-1} ... 0 
