# energy/meV  VibDOS 
-3.19451e+02   4.47682e-05
-3.17951e+02   4.49855e-05
-3.16451e+02   4.52046e-05
-3.14951e+02   4.54254e-05
-3.13451e+02   4.56480e-05
-3.11951e+02   4.58725e-05
-3.10451e+02   4.60988e-05
-3.08951e+02   4.63269e-05
-3.07451e+02   4.65570e-05
-3.05951e+02   4.67889e-05
-3.04451e+02   4.70228e-05
-3.02951e+02   4.72587e-05
-3.01451e+02   4.74965e-05
-2.99951e+02   4.77363e-05
-2.98451e+02   4.79782e-05
-2.96951e+02   4.82222e-05
-2.95451e+02   4.84682e-05
-2.93951e+02   4.87164e-05
-2.92451e+02   4.89667e-05
-2.90951e+02   4.92192e-05
-2.89451e+02   4.94739e-05
-2.87951e+02   4.97309e-05
-2.86451e+02   4.99901e-05
-2.84951e+02   5.02516e-05
-2.83451e+02   5.05155e-05
-2.81951e+02   5.07817e-05
-2.80451e+02   5.10503e-05
-2.78951e+02   5.13213e-05
-2.77451e+02   5.15949e-05
-2.75951e+02   5.18709e-05
-2.74451e+02   5.21494e-05
-2.72951e+02   5.24306e-05
-2.71451e+02   5.27143e-05
-2.69951e+02   5.30007e-05
-2.68451e+02   5.32898e-05
-2.66951e+02   5.35816e-05
-2.65451e+02   5.38762e-05
-2.63951e+02   5.41737e-05
-2.62451e+02   5.44739e-05
-2.60951e+02   5.47771e-05
-2.59451e+02   5.50833e-05
-2.57951e+02   5.53924e-05
-2.56451e+02   5.57045e-05
-2.54951e+02   5.60198e-05
-2.53451e+02   5.63382e-05
-2.51951e+02   5.66598e-05
-2.50451e+02   5.69846e-05
-2.48951e+02   5.73128e-05
-2.47451e+02   5.76442e-05
-2.45951e+02   5.79791e-05
-2.44451e+02   5.83175e-05
-2.42951e+02   5.86593e-05
-2.41451e+02   5.90048e-05
-2.39951e+02   5.93539e-05
-2.38451e+02   5.97067e-05
-2.36951e+02   6.00633e-05
-2.35451e+02   6.04237e-05
-2.33951e+02   6.07880e-05
-2.32451e+02   6.11563e-05
-2.30951e+02   6.15287e-05
-2.29451e+02   6.19051e-05
-2.27951e+02   6.22858e-05
-2.26451e+02   6.26707e-05
-2.24951e+02   6.30600e-05
-2.23451e+02   6.34538e-05
-2.21951e+02   6.38520e-05
-2.20451e+02   6.42549e-05
-2.18951e+02   6.46625e-05
-2.17451e+02   6.50749e-05
-2.15951e+02   6.54921e-05
