 Note: freq.dat has 8 imaginary frequencies.
 Frequencies 	 Amplitude 
	 322 	 4.65233656653879
	 323 	 5.70805417380113
	 324 	 2.61794751684281
	 325 	 0.449557507091464
	 326 	 0.0289427193130068
	 327 	 0.000699223324412724
	 328 	 6.34114211192288e-06
	 329 	 2.15813730188312e-08
	 330 	 2.75407613717217e-11
	 331 	 1.31602674641008e-14
	 332 	 2.35069968751818e-18
	 333 	 1.56654162742342e-22
	 334 	 3.88732576652524e-27
	 335 	 3.58518051079167e-32
	 336 	 1.22681352381528e-37
	 337 	 1.55524034853904e-43
	 338 	 7.29465970059534e-50
	 339 	 1.26452747026504e-56
	 340 	 8.09424369348413e-64
	 341 	 1.9117437217849e-71
	 342 	 1.66505960658065e-79
	 343 	 5.34525466815496e-88
	 344 	 6.32235148002291e-97
	 345 	 2.75440052057558e-106
	 346 	 4.41883014451853e-116
	 347 	 2.60996318119469e-126
	 348 	 5.67466986758759e-137
	 349 	 4.54121378863967e-148
	 350 	 1.33747381549525e-159
	 351 	 1.44959320978004e-171
	 352 	 5.78131896309723e-184
	 353 	 8.48409521135049e-197
	 354 	 4.58104137837706e-210
	 355 	 9.10099169116046e-224
	 356 	 6.65223483952038e-238
	 357 	 1.7889225346618e-252
	 358 	 1.76991800223905e-267
	 359 	 6.44238065174131e-283
	 360 	 8.62713046175091e-299
	 361 	 4.25019787548446e-315
	 362 	 0
	 363 	 0
	 364 	 0
	 365 	 0
	 366 	 0
	 367 	 0
	 368 	 0
	 369 	 0
	 370 	 0
	 371 	 0
	 372 	 0
	 373 	 0
	 374 	 0
	 375 	 0
	 376 	 0
	 377 	 0
	 378 	 0
	 379 	 0
	 380 	 0
	 381 	 0
	 382 	 2.10916264134585e-314
	 383 	 4.13156844492515e-298
	 384 	 2.97858355319023e-282
	 385 	 7.90333966570032e-267
	 386 	 7.71853870850291e-252
	 387 	 2.77461218800366e-237
	 388 	 3.67141294384655e-223
	 389 	 1.78834322427541e-209
	 390 	 3.20686245406035e-196
	 391 	 2.11713785701707e-183
	 392 	 5.14620949251931e-171
	 393 	 4.6060474095872e-159
	 394 	 1.51812770231312e-147
	 395 	 1.84275288671111e-136
	 396 	 8.23851085018686e-126
	 397 	 1.3567553425854e-115
	 398 	 8.23149898928596e-106
	 399 	 1.84009328560372e-96
	 400 	 1.51582669313165e-87
	 401 	 4.60235933993693e-79
	 402 	 5.1512600856937e-71
	 403 	 2.1258797816858e-63
	 404 	 3.23562172822107e-56
	 405 	 1.81670997054366e-49
	 406 	 3.7640348253231e-43
	 407 	 2.87881348634354e-37
	 408 	 8.13097775486422e-32
	 409 	 8.48500974788574e-27
	 410 	 3.27338924200749e-22
	 411 	 4.67190663386033e-18
	 412 	 2.46910621272687e-14
	 413 	 4.83778617022831e-11
	 414 	 3.51953756066367e-08
	 415 	 9.52676716585891e-06
	 416 	 0.000962074636630855
	 417 	 0.0363776255469983
	 418 	 0.517402447560565
	 419 	 2.78391369070648
	 420 	 5.70323754423422
	 421 	 4.47770196844297
	 422 	 1.35454617151725
	 423 	 0.158343869917633
	 424 	 0.00714965050792814
	 425 	 0.000124228870109797
	 426 	 8.25634434431341e-07
	 427 	 2.08420958388601e-09
	 428 	 1.98489517904509e-12
	 429 	 7.0896001057133e-16
	 430 	 9.45219163723772e-20
	 431 	 4.68684548221343e-24
	 432 	 8.61932413293084e-29
	 433 	 5.8671476565506e-34
	 434 	 1.47601588719091e-39
	 435 	 1.37083329649358e-45
	 436 	 4.69624925812172e-52
	 437 	 5.93094317905228e-59
	 438 	 2.75995083749876e-66
	 439 	 4.73075951766829e-74
	 440 	 2.98603570607006e-82
	 441 	 6.93909858024597e-91
	 442 	 5.93587214441345e-100
	 443 	 1.86889229682244e-109
	 444 	 2.16550353298936e-119
	 445 	 9.23366612060627e-130
	 446 	 1.44878172238881e-140
	 447 	 8.36418666231087e-152
	 448 	 1.77672114734819e-163
	 449 	 1.38859603241631e-175
	 450 	 3.99284733449611e-188
	 451 	 4.22406755922215e-201
	 452 	 1.64404363356519e-214
	 453 	 2.3540978811881e-228
	 454 	 1.24010899127364e-242
	 455 	 2.40334279606419e-257
	 456 	 1.71352001506445e-272
	 457 	 4.49446381510048e-288
	 458 	 4.33690537510618e-304
	 459 	 1.53950855244132e-320
	 460 	 0
	 461 	 0
	 462 	 0
	 463 	 0
	 464 	 0
	 465 	 0
	 466 	 0
	 467 	 0
	 468 	 0
	 469 	 0
	 470 	 0
	 471 	 0
	 472 	 0
	 473 	 0
	 474 	 0
	 475 	 0
	 476 	 0
	 477 	 0
	 478 	 0
	 479 	 0
	 480 	 0
	 481 	 0
	 482 	 0
	 483 	 0
	 484 	 0
	 485 	 0
	 486 	 0
	 487 	 0
	 488 	 0
	 489 	 0
	 490 	 0
	 491 	 0
	 492 	 0
	 493 	 0
	 494 	 0
	 495 	 0
	 496 	 0
	 497 	 0
	 498 	 0
	 499 	 0
